TimeMs,RunMode,TrackingState,SearchMode,Height_m,ErrX,ErrY,BoxRatio,CmdRoll,CmdPitch,CmdVert
167163,CONTROL,SEARCHING,ROI,19.400,-0.8198,-0.6000,0.0177,0.0000,0.0000,0.0000
167214,CONTROL,SEARCHING,ROI,19.400,-0.8198,-0.6000,0.0177,0.0000,0.0000,0.0000
167263,CONTROL,SEARCHING,ROI,19.400,-0.8198,-0.6000,0.0177,0.0000,0.0000,0.0000
167313,CONTROL,SEARCHING,ROI,19.400,-0.8198,-0.6000,0.0177,0.0000,0.0000,0.0000
167363,CONTROL,SEARCHING,ROI,19.400,-0.8198,-0.6000,0.0177,0.0000,0.0000,0.0000
167414,CONTROL,SEARCHING,ROI,19.400,-0.8198,-0.6000,0.0177,0.0000,0.0000,0.0000
167465,CONTROL,SEARCHING,ROI,19.400,-0.8198,-0.6000,0.0177,0.0000,0.0000,0.0000
167514,CONTROL,SEARCHING,ROI,19.400,-0.8198,-0.6000,0.0177,0.0000,0.0000,0.0000
167563,CONTROL,SEARCHING,ROI,19.400,-0.8198,-0.6000,0.0177,0.0000,0.0000,0.0000
167613,CONTROL,SEARCHING,ROI,19.400,-0.8198,-0.6000,0.0177,0.0000,0.0000,0.0000
167664,CONTROL,SEARCHING,ROI,19.400,-0.8198,-0.6000,0.0177,0.0000,0.0000,0.0000
167714,CONTROL,SEARCHING,ROI,19.400,-0.8188,-0.6037,0.0188,0.0000,0.0000,0.0000
167764,CONTROL,SEARCHING,ROI,19.400,-0.8188,-0.6037,0.0188,0.0000,0.0000,0.0000
167813,CONTROL,SEARCHING,ROI,19.400,-0.8188,-0.6037,0.0188,0.0000,0.0000,0.0000
167863,CONTROL,SEARCHING,ROI,19.400,-0.8188,-0.6037,0.0188,0.0000,0.0000,0.0000
167913,CONTROL,SEARCHING,ROI,19.400,-0.8188,-0.6037,0.0188,0.0000,0.0000,0.0000
167963,CONTROL,SEARCHING,ROI,19.400,-0.8188,-0.6037,0.0188,0.0000,0.0000,0.0000
168013,CONTROL,ALIGNING,ROI,19.400,-0.8208,-0.6037,0.0188,-0.0541,0.0398,0.0000
168063,CONTROL,ALIGNING,ROI,19.400,-0.8208,-0.6037,0.0188,-0.0541,0.0398,0.0000
168113,CONTROL,ALIGNING,ROI,19.400,-0.8208,-0.6037,0.0188,-0.0541,0.0398,0.0000
168163,CONTROL,ALIGNING,ROI,19.400,-0.8208,-0.6037,0.0188,-0.0541,0.0398,0.0000
168213,CONTROL,ALIGNING,ROI,19.400,-0.8208,-0.6037,0.0188,-0.0541,0.0398,0.0000
168263,CONTROL,ALIGNING,ROI,19.400,-0.8208,-0.6037,0.0188,-0.0541,0.0398,0.0000
168313,CONTROL,ALIGNING,ROI,19.400,-0.8208,-0.6037,0.0188,-0.0459,0.0338,0.0000
168363,CONTROL,ALIGNING,ROI,19.400,-0.8219,-0.6037,0.0177,-0.0563,0.0413,0.0000
168414,CONTROL,ALIGNING,ROI,19.400,-0.8219,-0.6037,0.0177,-0.0563,0.0413,0.0000
168463,CONTROL,ALIGNING,ROI,19.400,-0.8219,-0.6037,0.0177,-0.0563,0.0413,0.0000
168513,CONTROL,ALIGNING,ROI,19.400,-0.8219,-0.6037,0.0177,-0.0563,0.0413,0.0000
168563,CONTROL,ALIGNING,ROI,19.400,-0.8219,-0.6037,0.0177,-0.0563,0.0413,0.0000
168613,CONTROL,ALIGNING,ROI,19.400,-0.8198,-0.6037,0.0177,-0.0565,0.0419,0.0000
168663,CONTROL,ALIGNING,ROI,19.400,-0.8198,-0.6037,0.0177,-0.0565,0.0419,0.0000
168714,CONTROL,ALIGNING,ROI,19.400,-0.8198,-0.6037,0.0177,-0.0565,0.0419,0.0000
168764,CONTROL,ALIGNING,ROI,19.400,-0.8198,-0.6037,0.0177,-0.0565,0.0419,0.0000
168813,CONTROL,ALIGNING,ROI,19.400,-0.8198,-0.6037,0.0177,-0.0565,0.0419,0.0000
168863,CONTROL,ALIGNING,ROI,19.400,-0.8198,-0.6037,0.0177,-0.0480,0.0356,0.0000
168913,CONTROL,ALIGNING,ROI,19.400,-0.8000,-0.5704,0.0188,-0.0519,0.0335,0.0000
168963,CONTROL,ALIGNING,ROI,19.400,-0.8000,-0.5704,0.0188,-0.0519,0.0335,0.0000
169013,CONTROL,ALIGNING,ROI,19.400,-0.8000,-0.5704,0.0188,-0.0519,0.0335,0.0000
169063,CONTROL,ALIGNING,ROI,19.400,-0.8000,-0.5704,0.0188,-0.0519,0.0335,0.0000
169113,CONTROL,ALIGNING,ROI,19.400,-0.8000,-0.5704,0.0188,-0.0519,0.0335,0.0000
169164,CONTROL,ALIGNING,ROI,19.400,-0.8000,-0.5704,0.0188,-0.0441,0.0285,0.0000
169213,CONTROL,ALIGNING,ROI,19.400,-0.7594,-0.5148,0.0177,-0.0449,0.0243,0.0000
169263,CONTROL,ALIGNING,ROI,19.400,-0.7594,-0.5148,0.0177,-0.0449,0.0243,0.0000
169314,CONTROL,ALIGNING,ROI,19.400,-0.7594,-0.5148,0.0177,-0.0449,0.0243,0.0000
169363,CONTROL,ALIGNING,ROI,19.400,-0.7594,-0.5148,0.0177,-0.0449,0.0243,0.0000
169414,CONTROL,ALIGNING,ROI,19.400,-0.7594,-0.5148,0.0177,-0.0449,0.0243,0.0000
169463,CONTROL,ALIGNING,ROI,19.400,-0.7594,-0.5148,0.0177,-0.0381,0.0207,0.0000
169517,CONTROL,ALIGNING,ROI,19.400,-0.7125,-0.4519,0.0188,-0.0377,0.0150,0.0000
169563,CONTROL,ALIGNING,ROI,19.400,-0.7125,-0.4519,0.0188,-0.0377,0.0150,0.0000
169614,CONTROL,ALIGNING,ROI,19.400,-0.7125,-0.4519,0.0188,-0.0377,0.0150,0.0000
169663,CONTROL,ALIGNING,ROI,19.400,-0.7125,-0.4519,0.0188,-0.0377,0.0150,0.0000
169715,CONTROL,ALIGNING,ROI,19.400,-0.7125,-0.4519,0.0188,-0.0377,0.0150,0.0000
169764,CONTROL,ALIGNING,ROI,19.400,-0.6729,-0.4074,0.0188,-0.0350,0.0138,0.0000
169814,CONTROL,ALIGNING,ROI,19.400,-0.6729,-0.4074,0.0188,-0.0350,0.0138,0.0000
169863,CONTROL,ALIGNING,ROI,19.400,-0.6729,-0.4074,0.0188,-0.0350,0.0138,0.0000
169913,CONTROL,ALIGNING,ROI,19.400,-0.6729,-0.4074,0.0188,-0.0350,0.0138,0.0000
169964,CONTROL,ALIGNING,ROI,19.400,-0.6729,-0.4074,0.0188,-0.0350,0.0138,0.0000
170013,CONTROL,ALIGNING,ROI,19.400,-0.6729,-0.4074,0.0188,-0.0298,0.0117,0.0000
170063,CONTROL,ALIGNING,ROI,19.400,-0.6729,-0.4074,0.0188,-0.0253,0.0100,0.0000
170114,CONTROL,ALIGNING,ROI,19.400,-0.6385,-0.3741,0.0177,-0.0340,0.0147,0.0000
170164,CONTROL,ALIGNING,ROI,19.400,-0.6385,-0.3741,0.0177,-0.0340,0.0147,0.0000
170214,CONTROL,ALIGNING,ROI,19.400,-0.6385,-0.3741,0.0177,-0.0340,0.0147,0.0000
170264,CONTROL,ALIGNING,ROI,19.400,-0.6385,-0.3741,0.0177,-0.0340,0.0147,0.0000
170313,CONTROL,ALIGNING,ROI,19.400,-0.6385,-0.3741,0.0177,-0.0340,0.0147,0.0000
170363,CONTROL,ALIGNING,ROI,19.400,-0.6115,-0.3481,0.0177,-0.0336,0.0150,0.0000
170413,CONTROL,ALIGNING,ROI,19.400,-0.6115,-0.3481,0.0177,-0.0336,0.0150,0.0000
170463,CONTROL,ALIGNING,ROI,19.400,-0.6115,-0.3481,0.0177,-0.0336,0.0150,0.0000
170513,CONTROL,ALIGNING,ROI,19.400,-0.6115,-0.3481,0.0177,-0.0336,0.0150,0.0000
170563,CONTROL,ALIGNING,ROI,19.400,-0.6115,-0.3481,0.0177,-0.0336,0.0150,0.0000
170613,CONTROL,ALIGNING,ROI,19.400,-0.5885,-0.3352,0.0177,-0.0326,0.0170,0.0000
170664,CONTROL,ALIGNING,ROI,19.400,-0.5885,-0.3352,0.0177,-0.0326,0.0170,0.0000
170716,CONTROL,ALIGNING,ROI,19.400,-0.5885,-0.3352,0.0177,-0.0326,0.0170,0.0000
170763,CONTROL,ALIGNING,ROI,19.400,-0.5885,-0.3352,0.0177,-0.0326,0.0170,0.0000
170813,CONTROL,ALIGNING,ROI,19.400,-0.5885,-0.3352,0.0177,-0.0326,0.0170,0.0000
170863,CONTROL,ALIGNING,ROI,19.400,-0.5885,-0.3352,0.0177,-0.0277,0.0144,0.0000
170914,CONTROL,ALIGNING,ROI,19.400,-0.5719,-0.3259,0.0177,-0.0337,0.0186,0.0000
170964,CONTROL,ALIGNING,ROI,19.400,-0.5719,-0.3259,0.0177,-0.0337,0.0186,0.0000
171013,CONTROL,ALIGNING,ROI,19.400,-0.5719,-0.3259,0.0177,-0.0337,0.0186,0.0000
171063,CONTROL,ALIGNING,ROI,19.400,-0.5719,-0.3259,0.0177,-0.0337,0.0186,0.0000
171113,CONTROL,ALIGNING,ROI,19.400,-0.5719,-0.3259,0.0177,-0.0337,0.0186,0.0000
171163,CONTROL,ALIGNING,ROI,19.400,-0.5510,-0.3148,0.0177,-0.0317,0.0180,0.0000
171213,CONTROL,ALIGNING,ROI,19.400,-0.5510,-0.3148,0.0177,-0.0317,0.0180,0.0000
171264,CONTROL,ALIGNING,ROI,19.400,-0.5510,-0.3148,0.0177,-0.0317,0.0180,0.0000
171313,CONTROL,ALIGNING,ROI,19.400,-0.5510,-0.3148,0.0177,-0.0317,0.0180,0.0000
171363,CONTROL,ALIGNING,ROI,19.400,-0.5510,-0.3148,0.0177,-0.0317,0.0180,0.0000
171413,CONTROL,ALIGNING,ROI,19.400,-0.5365,-0.3000,0.0177,-0.0319,0.0164,0.0000
171463,CONTROL,ALIGNING,ROI,19.400,-0.5365,-0.3000,0.0177,-0.0319,0.0164,0.0000
171513,CONTROL,ALIGNING,ROI,19.400,-0.5365,-0.3000,0.0177,-0.0319,0.0164,0.0000
171565,CONTROL,ALIGNING,ROI,19.400,-0.5365,-0.3000,0.0177,-0.0319,0.0164,0.0000
171613,CONTROL,ALIGNING,ROI,19.400,-0.5365,-0.3000,0.0177,-0.0319,0.0164,0.0000
171663,CONTROL,ALIGNING,ROI,19.400,-0.5365,-0.3000,0.0177,-0.0271,0.0140,0.0000
171713,CONTROL,ALIGNING,ROI,19.400,-0.5188,-0.2852,0.0167,-0.0306,0.0152,0.0000
171763,CONTROL,ALIGNING,ROI,19.400,-0.5188,-0.2852,0.0167,-0.0306,0.0152,0.0000
171814,CONTROL,ALIGNING,ROI,19.400,-0.5188,-0.2852,0.0167,-0.0306,0.0152,0.0000
171863,CONTROL,ALIGNING,ROI,19.400,-0.5188,-0.2852,0.0167,-0.0306,0.0152,0.0000
171913,CONTROL,ALIGNING,ROI,19.400,-0.5188,-0.2852,0.0167,-0.0306,0.0152,0.0000
171964,CONTROL,ALIGNING,ROI,19.400,-0.5000,-0.2722,0.0188,-0.0293,0.0148,0.0000
172016,CONTROL,ALIGNING,ROI,19.400,-0.5000,-0.2722,0.0188,-0.0293,0.0148,0.0000
172064,CONTROL,ALIGNING,ROI,19.400,-0.5000,-0.2722,0.0188,-0.0293,0.0148,0.0000
172113,CONTROL,ALIGNING,ROI,19.400,-0.5000,-0.2722,0.0188,-0.0293,0.0148,0.0000
172163,CONTROL,ALIGNING,ROI,19.400,-0.5000,-0.2722,0.0188,-0.0293,0.0148,0.0000
172213,CONTROL,ALIGNING,ROI,19.400,-0.5000,-0.2722,0.0188,-0.0249,0.0126,0.0000
172263,CONTROL,ALIGNING,ROI,19.400,-0.4781,-0.2556,0.0177,-0.0275,0.0133,0.0000
172313,CONTROL,ALIGNING,ROI,19.400,-0.4781,-0.2556,0.0177,-0.0275,0.0133,0.0000
172363,CONTROL,ALIGNING,ROI,19.400,-0.4781,-0.2556,0.0177,-0.0275,0.0133,0.0000
172413,CONTROL,ALIGNING,ROI,19.400,-0.4781,-0.2556,0.0177,-0.0275,0.0133,0.0000
172464,CONTROL,ALIGNING,ROI,19.400,-0.4781,-0.2556,0.0177,-0.0275,0.0133,0.0000
172513,CONTROL,ALIGNING,ROI,19.400,-0.4781,-0.2556,0.0177,-0.0233,0.0113,0.0000
172563,CONTROL,ALIGNING,ROI,19.400,-0.4594,-0.2389,0.0177,-0.0261,0.0117,0.0000
172614,CONTROL,ALIGNING,ROI,19.400,-0.4594,-0.2389,0.0177,-0.0261,0.0117,0.0000
172663,CONTROL,ALIGNING,ROI,19.400,-0.4594,-0.2389,0.0177,-0.0261,0.0117,0.0000
172713,CONTROL,ALIGNING,ROI,19.400,-0.4594,-0.2389,0.0177,-0.0261,0.0117,0.0000
172763,CONTROL,ALIGNING,ROI,19.400,-0.4594,-0.2389,0.0177,-0.0261,0.0117,0.0000
172814,CONTROL,ALIGNING,ROI,19.400,-0.4427,-0.2259,0.0177,-0.0254,0.0114,0.0000
172864,CONTROL,ALIGNING,ROI,19.400,-0.4427,-0.2259,0.0177,-0.0254,0.0114,0.0000
172913,CONTROL,ALIGNING,ROI,19.400,-0.4427,-0.2259,0.0177,-0.0254,0.0114,0.0000
172963,CONTROL,ALIGNING,ROI,19.400,-0.4427,-0.2259,0.0177,-0.0254,0.0114,0.0000
173013,CONTROL,ALIGNING,ROI,19.400,-0.4427,-0.2259,0.0177,-0.0254,0.0114,0.0000
173063,CONTROL,ALIGNING,ROI,19.400,-0.4427,-0.2259,0.0177,-0.0216,0.0096,0.0000
173113,CONTROL,ALIGNING,ROI,19.400,-0.4281,-0.2148,0.0177,-0.0249,0.0111,0.0000
173163,CONTROL,ALIGNING,ROI,19.400,-0.4281,-0.2148,0.0177,-0.0249,0.0111,0.0000
173213,CONTROL,ALIGNING,ROI,19.400,-0.4281,-0.2148,0.0177,-0.0249,0.0111,0.0000
173263,CONTROL,ALIGNING,ROI,19.400,-0.4281,-0.2148,0.0177,-0.0249,0.0111,0.0000
173314,CONTROL,ALIGNING,ROI,19.400,-0.4281,-0.2148,0.0177,-0.0249,0.0111,0.0000
173364,CONTROL,ALIGNING,ROI,19.400,-0.4115,-0.2037,0.0177,-0.0237,0.0106,0.0000
173413,CONTROL,ALIGNING,ROI,19.400,-0.4115,-0.2037,0.0177,-0.0237,0.0106,0.0000
173463,CONTROL,ALIGNING,ROI,19.400,-0.4115,-0.2037,0.0177,-0.0237,0.0106,0.0000
173513,CONTROL,ALIGNING,ROI,19.400,-0.4115,-0.2037,0.0177,-0.0237,0.0106,0.0000
173564,CONTROL,ALIGNING,ROI,19.400,-0.4115,-0.2037,0.0177,-0.0237,0.0106,0.0000
173613,CONTROL,ALIGNING,ROI,19.400,-0.4115,-0.2037,0.0177,-0.0201,0.0090,0.0000
173663,CONTROL,ALIGNING,ROI,19.400,-0.3969,-0.1944,0.0177,-0.0232,0.0105,0.0000
173713,CONTROL,ALIGNING,ROI,19.400,-0.3969,-0.1944,0.0177,-0.0232,0.0105,0.0000
173764,CONTROL,ALIGNING,ROI,19.400,-0.3969,-0.1944,0.0177,-0.0232,0.0105,0.0000
173813,CONTROL,ALIGNING,ROI,19.400,-0.3969,-0.1944,0.0177,-0.0232,0.0105,0.0000
173864,CONTROL,ALIGNING,ROI,19.400,-0.3969,-0.1944,0.0177,-0.0232,0.0105,0.0000
173913,CONTROL,ALIGNING,ROI,19.400,-0.3969,-0.1944,0.0177,-0.0197,0.0090,0.0000
173964,CONTROL,ALIGNING,ROI,19.400,-0.3802,-0.1833,0.0177,-0.0217,0.0096,0.0000
174014,CONTROL,ALIGNING,ROI,19.400,-0.3802,-0.1833,0.0177,-0.0217,0.0096,0.0000
174063,CONTROL,ALIGNING,ROI,19.400,-0.3802,-0.1833,0.0177,-0.0217,0.0096,0.0000
174113,CONTROL,ALIGNING,ROI,19.400,-0.3802,-0.1833,0.0177,-0.0217,0.0096,0.0000
174163,CONTROL,ALIGNING,ROI,19.400,-0.3802,-0.1833,0.0177,-0.0217,0.0096,0.0000
174214,CONTROL,ALIGNING,ROI,19.400,-0.3802,-0.1833,0.0177,-0.0185,0.0081,0.0000
174264,CONTROL,ALIGNING,ROI,19.400,-0.3656,-0.1722,0.0177,-0.0210,0.0087,0.0000
174313,CONTROL,ALIGNING,ROI,19.400,-0.3656,-0.1722,0.0177,-0.0210,0.0087,0.0000
174363,CONTROL,ALIGNING,ROI,19.400,-0.3656,-0.1722,0.0177,-0.0210,0.0087,0.0000
174413,CONTROL,ALIGNING,ROI,19.400,-0.3656,-0.1722,0.0177,-0.0210,0.0087,0.0000
174463,CONTROL,ALIGNING,ROI,19.400,-0.3656,-0.1722,0.0177,-0.0210,0.0087,0.0000
174514,CONTROL,ALIGNING,ROI,19.400,-0.3531,-0.1648,0.0177,-0.0205,0.0088,0.0000
174563,CONTROL,ALIGNING,ROI,19.400,-0.3531,-0.1648,0.0177,-0.0205,0.0088,0.0000
174613,CONTROL,ALIGNING,ROI,19.400,-0.3531,-0.1648,0.0177,-0.0205,0.0088,0.0000
174664,CONTROL,ALIGNING,ROI,19.400,-0.3531,-0.1648,0.0177,-0.0205,0.0088,0.0000
174713,CONTROL,ALIGNING,ROI,19.400,-0.3531,-0.1648,0.0177,-0.0205,0.0088,0.0000
174763,CONTROL,ALIGNING,ROI,19.400,-0.3396,-0.1593,0.0167,-0.0192,0.0088,0.0000
174814,CONTROL,ALIGNING,ROI,19.400,-0.3396,-0.1593,0.0167,-0.0192,0.0088,0.0000
174865,CONTROL,ALIGNING,ROI,19.400,-0.3396,-0.1593,0.0167,-0.0192,0.0088,0.0000
174913,CONTROL,ALIGNING,ROI,19.400,-0.3396,-0.1593,0.0167,-0.0192,0.0088,0.0000
174963,CONTROL,ALIGNING,ROI,19.400,-0.3396,-0.1593,0.0167,-0.0192,0.0088,0.0000
175013,CONTROL,ALIGNING,ROI,19.400,-0.3396,-0.1593,0.0167,-0.0163,0.0075,0.0000
175064,CONTROL,ALIGNING,ROI,19.400,-0.3281,-0.1519,0.0177,-0.0190,0.0083,0.0000
175113,CONTROL,ALIGNING,ROI,19.400,-0.3281,-0.1519,0.0177,-0.0190,0.0083,0.0000
175164,CONTROL,ALIGNING,ROI,19.400,-0.3281,-0.1519,0.0177,-0.0190,0.0083,0.0000
175215,CONTROL,ALIGNING,ROI,19.400,-0.3281,-0.1519,0.0177,-0.0190,0.0083,0.0000
175263,CONTROL,ALIGNING,ROI,19.400,-0.3281,-0.1519,0.0177,-0.0190,0.0083,0.0000
175313,CONTROL,ALIGNING,ROI,19.400,-0.3156,-0.1444,0.0177,-0.0180,0.0077,0.0000
175364,CONTROL,ALIGNING,ROI,19.400,-0.3156,-0.1444,0.0177,-0.0180,0.0077,0.0000
175413,CONTROL,ALIGNING,ROI,19.400,-0.3156,-0.1444,0.0177,-0.0180,0.0077,0.0000
175463,CONTROL,ALIGNING,ROI,19.400,-0.3156,-0.1444,0.0177,-0.0180,0.0077,0.0000
175514,CONTROL,ALIGNING,ROI,19.400,-0.3156,-0.1444,0.0177,-0.0180,0.0077,0.0000
175563,CONTROL,ALIGNING,ROI,19.400,-0.3052,-0.1407,0.0177,-0.0176,0.0081,0.0000
175613,CONTROL,ALIGNING,ROI,19.400,-0.3052,-0.1407,0.0177,-0.0176,0.0081,0.0000
